bikeid,month,mileage,biketrips,tripduration,hours
40770,January,181.68,179,139524,39
38705,January,181.65,167,154228,43
38711,January,181.58,180,125647,35
38816,January,181.43,164,118391,33
33945,January,181.11,169,126534,35
41840,January,181.06,180,142250,40
35131,January,181.0,178,120194,33
40502,January,180.92,167,119273,33
39306,January,180.9,189,121840,34
40299,January,180.55,162,114277,32
41547,January,180.54,160,118549,33
35039,January,180.53,137,113105,31
40240,January,180.51,179,126357,35
41852,January,180.5,194,121586,34
40376,January,180.4,188,116823,32
34971,January,180.35,181,171999,48
35167,January,180.28,165,131534,37
38148,January,180.24,151,117313,33
41097,January,180.2,181,136121,38
40193,January,180.19,166,117613,33
38259,January,180.17,162,115382,32
42021,January,180.03,161,125602,35
39784,January,179.95,166,121617,34
40384,January,179.86,172,131076,36
41921,January,179.84,155,115091,32
41805,January,179.8,170,135601,38
34973,January,179.53,175,125376,35
40127,January,179.44,158,141930,39
40493,January,179.34,163,120850,34
39384,January,179.19,177,142152,39
40585,January,179.13,181,129913,36
40740,January,179.11,165,125453,35
41176,January,178.98,168,136323,38
41099,January,178.95,155,117851,33
39606,January,178.94,178,120537,33
35144,January,178.92,176,133658,37
35214,January,178.84,159,120458,33
40791,January,178.82,185,327754,91
41688,January,178.81,183,129837,36
40911,January,178.7,172,135952,38
40652,January,178.65,158,138171,38
40170,January,178.65,178,161631,45
28954,January,178.58,172,134418,37
34914,January,178.44,176,113881,32
38444,January,178.19,169,136689,38
39757,January,178.13,157,125255,35
38827,January,178.08,152,122275,34
38775,January,178.02,176,119178,33
42030,January,178.01,157,111457,31
41926,January,177.81,165,125029,35
35111,January,177.71,169,125428,35
40148,January,177.56,160,116420,32
40407,January,177.55,157,129662,36
40327,January,177.43,163,126429,35
40266,January,177.41,163,115694,32
34058,January,177.4,185,128456,36
41318,January,177.15,192,141144,39
39194,January,177.1,154,112311,31
41428,January,177.08,161,111551,31
33973,January,177.02,150,119586,33
39031,January,176.92,160,136008,38
40817,January,176.86,184,120438,33
40511,January,176.81,150,119977,33
41365,January,176.65,146,123121,34
38439,January,176.59,162,127544,35
41976,January,176.53,164,130397,36
41079,January,176.49,163,127454,35
38951,January,176.45,164,116846,32
41698,January,176.32,157,112735,31
41451,January,176.21,164,130429,36
38226,January,176.17,176,133180,37
40462,January,176.15,156,116533,32
41965,January,176.12,141,124426,35
39332,January,176.07,170,115457,32
38488,January,175.95,165,162106,45
40698,January,175.8,165,116548,32
40714,January,175.77,165,111952,31
39678,January,175.69,183,157027,44
39659,January,175.66,159,113088,31
41222,January,175.61,147,137619,38
40672,January,175.5,173,119116,33
41395,January,175.46,160,127363,35
41816,January,175.43,137,119929,33
38605,January,175.41,182,122250,34
41560,January,175.39,169,122975,34
41446,January,175.36,141,120427,33
40874,January,175.32,149,112723,31
40954,January,175.3,171,111501,31
38081,January,175.26,166,122659,34
40169,January,175.18,172,132954,37
40650,January,175.05,161,131242,36
40816,January,174.98,157,112181,31
40963,January,174.92,162,123021,34
39888,January,174.86,152,112463,31
41454,January,174.84,160,139021,39
41001,January,174.81,160,118955,33
38413,January,174.75,163,118092,33
40198,January,174.68,184,137475,38
41851,January,174.64,186,188547,52
40222,January,174.62,174,142184,39
41323,January,174.6,159,119585,33
38657,January,174.58,172,120790,34
40440,January,174.53,170,134624,37
38763,January,174.45,160,122214,34
40988,January,174.42,156,111089,31
41505,January,174.33,155,223465,62
38686,January,174.28,169,130577,36
39473,January,174.25,176,129796,36
38713,January,174.25,185,128446,36
34107,January,174.24,165,114343,32
39449,January,174.15,160,120771,34
40307,January,174.15,172,133955,37
40869,January,174.06,162,124945,35
40300,January,173.97,169,137907,38
40916,January,173.94,175,116854,32
40387,January,173.93,183,133666,37
41874,January,173.91,149,110363,31
33295,January,173.91,164,130215,36
34396,January,173.88,197,120547,33
38708,January,173.72,149,134776,37
41776,January,173.71,157,132707,37
33756,January,173.65,184,122194,34
40435,January,173.5,145,144844,40
34252,January,173.3,149,111113,31
41060,January,173.3,171,156916,44
41209,January,173.26,174,120754,34
41366,January,173.24,160,122464,34
39621,January,173.2,173,119454,33
41664,January,173.07,156,113398,31
35060,January,173.05,170,127114,35
41545,January,173.04,173,114050,32
33159,January,173.01,155,119842,33
40598,January,172.97,150,116407,32
40748,January,172.96,178,120764,34
40605,January,172.84,155,114723,32
41845,January,172.72,151,112834,31
41339,January,172.62,183,141252,39
33892,January,172.54,160,117575,33
40103,January,172.53,162,113063,31
41992,January,172.5,144,111337,31
41392,January,172.5,173,130834,36
41059,January,172.47,152,118810,33
34398,January,172.46,164,123511,34
39651,January,172.46,176,156310,43
38066,January,172.45,157,118993,33
39790,January,172.4,152,115152,32
41485,January,172.4,171,126158,35
41543,January,172.39,176,126360,35
40707,January,172.24,179,130057,36
41778,January,172.23,178,117768,33
34964,January,172.22,137,112200,31
41375,January,172.2,143,106572,30
34256,January,172.13,149,115949,32
38851,January,172.04,164,118586,33
39954,January,172.02,151,111071,31
40724,January,171.92,170,113264,31
40352,January,171.91,162,116368,32
41835,January,171.89,171,147270,41
41150,January,171.78,170,117297,33
41757,January,171.76,154,131474,37
40917,January,171.67,183,162603,45
39776,January,171.62,145,112840,31
39680,January,171.58,153,109865,31
42039,January,171.51,148,124886,35
38205,January,171.26,168,117828,33
34224,January,171.17,171,119893,33
34972,January,171.13,187,123407,34
41033,January,171.06,168,119054,33
38655,January,171.01,171,107933,30
40220,January,170.96,162,123923,34
28840,January,170.94,138,105967,29
41794,January,170.64,145,117818,33
39727,January,170.59,159,114601,32
28330,January,170.45,175,118584,33
39208,January,170.43,163,122119,34
41669,January,170.29,142,133533,37
33917,January,170.27,137,101112,28
34226,January,170.25,154,108094,30
40636,January,170.21,158,112089,31
41714,January,170.18,161,112480,31
40625,January,170.16,138,119716,33
35384,January,170.07,172,112379,31
39509,January,170.06,157,114717,32
39691,January,170.03,163,106499,30
41544,January,170.02,161,135870,38
41891,January,169.97,163,122386,34
34122,January,169.97,161,123424,34
41667,January,169.93,155,118268,33
41848,January,169.92,152,118903,33
40143,January,169.85,161,125587,35
40708,January,169.78,160,111537,31
41214,January,169.52,180,141328,39
38382,January,169.42,151,119117,33
41628,January,169.41,171,120688,34
42015,January,169.28,155,129334,36
40223,January,169.23,146,126969,35
39694,January,169.22,146,112648,31
41577,January,169.2,152,135920,38
41303,January,169.14,172,142675,40
41604,January,169.09,181,136054,38
39619,January,169.05,149,119844,33
39352,January,168.99,150,111754,31
41496,January,168.98,168,163935,46
41233,January,168.96,149,124039,34
38904,January,168.94,166,133305,37
38375,January,168.87,175,126101,35
40560,January,168.83,142,115819,32
34848,January,168.82,155,110521,31
40332,January,168.8,163,111765,31
39851,January,168.8,172,122116,34
41436,January,168.72,159,117670,33
40831,January,168.71,164,116902,32
38676,January,168.7,150,110090,31
39165,January,168.67,140,113385,31
38638,January,168.62,159,115324,32
38290,January,168.62,153,114472,32
41055,January,168.57,172,133941,37
40772,January,168.52,180,126587,35
38037,January,168.49,165,117697,33
40627,January,168.48,166,121137,34
38869,January,168.48,179,128977,36
39832,January,168.47,161,112429,31
40688,January,168.36,150,105200,29
39649,January,168.33,169,117825,33
40547,January,168.31,141,107680,30
41281,January,168.31,158,113906,32
40252,January,168.3,171,107983,30
39962,January,168.29,157,105748,29
38640,January,168.27,172,118786,33
39483,January,168.24,134,116504,32
41554,January,168.21,172,112274,31
40228,January,168.19,152,108099,30
41490,January,168.17,162,116133,32
40439,January,168.16,150,103151,29
41073,January,168.16,157,121733,34
41923,January,168.12,160,122060,34
39610,January,168.08,145,109247,30
39977,January,168.05,142,121289,34
41489,January,168.02,130,108006,30
29046,January,167.94,167,106851,30
27907,January,167.93,161,114679,32
35388,January,167.85,161,112988,31
42028,January,167.83,143,115287,32
38829,January,167.83,164,110917,31
40753,January,167.82,158,107323,30
39282,January,167.8,159,118967,33
39094,January,167.78,149,114955,32
39469,January,167.76,143,109575,30
38206,January,167.75,167,153585,43
40377,January,167.73,153,123288,34
40722,January,167.7,157,114292,32
40388,January,167.67,153,113027,31
40651,January,167.62,162,113294,31
40776,January,167.54,154,117661,33
35152,January,167.52,165,129143,36
41498,January,167.52,151,118745,33
40546,January,167.5,148,118619,33
38784,January,167.49,147,115259,32
40102,January,167.44,150,113969,32
40838,January,167.4,146,108767,30
39909,January,167.35,161,106410,30
35248,January,167.29,158,105242,29
41735,January,167.24,175,108054,30
33828,January,167.14,175,136062,38
28973,January,167.07,157,107839,30
38245,January,167.06,163,117004,33
40521,January,166.99,148,119388,33
41546,January,166.98,163,117115,33
41578,January,166.9,163,108307,30
29155,January,166.9,158,109633,30
41391,January,166.87,149,109050,30
41679,January,166.83,173,126380,35
41252,January,166.72,163,137770,38
41361,January,166.72,160,131210,36
40275,January,166.65,166,139515,39
40586,January,166.64,140,122998,34
40217,January,166.58,152,110317,31
30912,January,166.56,173,129025,36
41614,January,166.53,163,137832,38
39636,January,166.52,157,104931,29
39661,January,166.51,172,159070,44
30326,January,166.51,147,119072,33
40523,January,166.51,145,116073,32
41188,January,166.49,184,137141,38
41601,January,166.38,156,116176,32
39951,January,166.25,169,121164,34
41075,January,166.24,153,115398,32
40177,January,166.24,161,123890,34
31069,January,166.2,145,117164,33
41468,January,166.18,164,125753,35
39596,January,166.15,168,125453,35
38103,January,165.85,157,123869,34
41129,January,165.85,167,115271,32
41139,January,165.84,159,112670,31
39460,January,165.79,138,106490,30
38094,January,165.76,143,116778,32
40818,January,165.74,160,111336,31
42003,January,165.73,143,136227,38
41177,January,165.73,138,101565,28
39630,January,165.67,163,105204,29
40353,January,165.62,150,131663,37
41566,January,165.61,168,124826,35
41118,January,165.58,156,120524,33
40915,January,165.56,129,119364,33
40434,January,165.53,157,111424,31
40964,January,165.5,164,183153,51
41966,January,165.48,157,113814,32
40385,January,165.42,157,137957,38
35157,January,165.4,152,116816,32
39105,January,165.38,161,105622,29
41092,January,165.34,158,120566,33
38178,January,165.3,147,127669,35
41153,January,165.24,148,110815,31
39550,January,165.21,175,117969,33
41057,January,165.17,142,108368,30
30213,January,165.1,144,121982,34
40839,January,165.07,153,125823,35
32370,January,165.07,156,105519,29
38969,January,164.92,161,105027,29
41107,January,164.81,162,115696,32
41443,January,164.74,155,120303,33
40414,January,164.68,149,109249,30
41190,January,164.66,142,115924,32
40447,January,164.64,154,107317,30
41359,January,164.61,149,119261,33
39880,January,164.57,155,108162,30
40058,January,164.49,177,101515,28
38887,January,164.45,163,116799,32
41038,January,164.44,160,134916,37
41764,January,164.43,171,137134,38
41086,January,164.39,153,112836,31
38448,January,164.39,147,119912,33
39799,January,164.39,143,105226,29
40255,January,164.35,163,113141,31
41406,January,164.29,176,117944,33
33876,January,164.24,154,107123,30
41133,January,164.15,160,131988,37
34982,January,164.14,165,193555,54
29924,January,164.14,153,108777,30
41571,January,164.11,140,103059,29
41715,January,164.11,135,109063,30
34849,January,164.03,154,118375,33
41412,January,164.03,158,112097,31
41261,January,164.03,160,114937,32
40588,January,163.98,153,111090,31
40903,January,163.96,145,110491,31
38115,January,163.96,148,116996,32
40427,January,163.96,157,127857,36
33919,January,163.92,149,127704,35
40792,January,163.89,148,113348,31
41069,January,163.88,157,119650,33
34259,January,163.87,140,99338,28
41125,January,163.74,154,101201,28
38475,January,163.7,162,121593,34
40267,January,163.67,145,122897,34
40887,January,163.61,142,105423,29
41093,January,163.61,148,99021,28
39540,January,163.58,142,120589,33
41240,January,163.56,157,116458,32
40197,January,163.56,148,102570,28
39493,January,163.54,152,117139,33
41591,January,163.44,154,110776,31
40801,January,163.43,144,107929,30
34075,January,163.41,148,126626,35
27859,January,163.36,158,122709,34
41911,January,163.29,158,120736,34
35230,January,163.26,168,108050,30
28719,January,163.26,151,108401,30
41621,January,163.25,167,121090,34
40992,January,163.25,140,106977,30
34336,January,163.24,147,104837,29
40398,January,163.22,163,112021,31
41076,January,163.22,180,115671,32
39325,January,163.18,142,117100,33
42010,January,163.17,188,112319,31
41905,January,163.1,149,133188,37
38273,January,163.09,145,109351,30
41336,January,163.09,144,105834,29
38505,January,163.07,163,112317,31
42036,January,163.06,128,102636,29
38798,January,163.06,169,109323,30
41875,January,163.04,162,109561,30
39436,January,163.01,170,115175,32
38954,January,163.0,163,124580,35
41930,January,162.99,162,111939,31
39930,January,162.98,162,179281,50
41300,January,162.91,154,112443,31
41287,January,162.87,159,119708,33
41486,January,162.83,156,112081,31
39623,January,162.83,138,116128,32
40750,January,162.81,162,129049,36
41034,January,162.79,149,114475,32
39612,January,162.79,150,111577,31
39878,January,162.77,184,165188,46
28666,January,162.73,147,103734,29
29793,January,162.72,169,124902,35
38586,January,162.7,165,107390,30
40355,January,162.69,160,113932,32
41488,January,162.67,156,106130,29
40259,January,162.63,153,118495,33
41920,January,162.63,160,108248,30
38628,January,162.62,148,107012,30
35165,January,162.61,158,112820,31
34246,January,162.58,153,117692,33
41245,January,162.52,143,110873,31
35226,January,162.51,146,120125,33
39402,January,162.47,158,117997,33
41495,January,162.42,150,111678,31
40582,January,162.33,155,104786,29
40470,January,162.31,146,149101,41
41175,January,162.3,139,97110,27
40200,January,162.29,155,117136,33
40134,January,162.28,166,122261,34
41903,January,162.28,154,116632,32
34098,January,162.2,145,106224,30
33912,January,162.19,146,110750,31
35101,January,162.15,161,117969,33
34159,January,162.12,160,110463,31
35209,January,162.09,155,118060,33
34186,January,162.08,139,204630,57
38776,January,162.03,148,102748,29
41368,January,162.02,167,155497,43
41012,January,161.95,150,111061,31
40556,January,161.92,166,106678,30
40509,January,161.91,162,117017,33
38039,January,161.89,142,102642,29
34206,January,161.82,155,114111,32
40213,January,161.73,145,110034,31
40834,January,161.66,174,120926,34
41785,January,161.65,158,137578,38
38104,January,161.65,157,168933,47
39653,January,161.64,164,122839,34
41683,January,161.62,150,106153,29
39847,January,161.6,158,119336,33
35378,January,161.59,178,123567,34
38093,January,161.58,154,121626,34
38172,January,161.57,161,121901,34
40454,January,161.55,162,117471,33
39579,January,161.49,140,124497,35
40610,January,161.47,128,116093,32
40719,January,161.41,149,126371,35
41658,January,161.4,147,112762,31
40494,January,161.38,145,112065,31
40129,January,161.38,146,104531,29
39338,January,161.29,159,108927,30
40813,January,161.29,154,123568,34
34354,January,161.26,129,106078,29
38722,January,161.25,153,105414,29
35358,January,161.23,159,136291,38
40802,January,161.21,176,116279,32
40464,January,161.21,140,107610,30
41149,January,161.16,146,114751,32
40350,January,161.06,168,119397,33
38880,January,161.01,158,121159,34
41272,January,161.0,157,104658,29
40542,January,160.97,154,114839,32
34184,January,160.94,146,127312,35
40152,January,160.93,169,111973,31
34967,January,160.92,135,107636,30
38415,January,160.9,150,118904,33
40871,January,160.84,151,109239,30
34021,January,160.83,135,99479,28
41691,January,160.81,142,113175,31
35208,January,160.74,137,109511,30
41610,January,160.74,146,94642,26
41521,January,160.74,133,103925,29
39709,January,160.7,149,109474,30
41230,January,160.67,143,108301,30
40289,January,160.61,158,121694,34
38788,January,160.52,158,100041,28
41206,January,160.5,145,112281,31
40362,January,160.49,138,110896,31
30992,January,160.49,168,122186,34
39748,January,160.36,158,109062,30
40866,January,160.35,162,112106,31
39643,January,160.21,150,106927,30
40908,January,160.2,156,114612,32
39284,January,160.18,156,108715,30
39883,January,160.13,166,129392,36
41825,January,160.06,152,114976,32
41599,January,160.05,139,117290,33
38503,January,160.01,155,116435,32
40108,January,159.99,124,110648,31
39613,January,159.9,157,119127,33
35315,January,159.8,142,113157,31
35356,January,159.76,152,109401,30
39654,January,159.76,173,121722,34
39947,January,159.74,162,119444,33
38710,January,159.72,160,104752,29
38434,January,159.71,136,109918,31
40683,January,159.69,164,116265,32
39725,January,159.67,169,114524,32
41890,January,159.56,154,113911,32
41528,January,159.52,164,110940,31
41152,January,159.5,140,109956,31
38520,January,159.46,137,103591,29
40609,January,159.45,162,114270,32
39534,January,159.42,145,105937,29
41148,January,159.41,140,102261,28
34394,January,159.4,159,127158,35
38361,January,159.38,143,111150,31
39138,January,159.32,143,109829,31
40611,January,159.3,158,109792,30
40565,January,159.27,166,116039,32
38919,January,159.25,157,111576,31
39923,January,159.22,138,112030,31
40691,January,159.04,147,114555,32
38724,January,159.02,168,107147,30
39492,January,158.86,174,117148,33
41330,January,158.85,161,118150,33
41693,January,158.77,179,116086,32
38536,January,158.73,155,104968,29
40692,January,158.72,152,107833,30
40826,January,158.71,146,115503,32
38576,January,158.68,154,111685,31
40933,January,158.66,162,124814,35
41065,January,158.65,145,101163,28
39023,January,158.63,150,112069,31
38675,January,158.62,158,117787,33
40366,January,158.61,156,136763,38
39305,January,158.59,156,112991,31
40372,January,158.55,144,109322,30
39016,January,158.55,153,108734,30
40171,January,158.51,122,118666,33
40062,January,158.48,146,116183,32
33770,January,158.36,135,100989,28
41434,January,158.36,150,115234,32
40809,January,158.27,158,101733,28
39526,January,158.25,146,117898,33
39604,January,158.25,172,129277,36
34351,January,158.2,157,109955,31
40529,January,158.19,144,99613,28
40930,January,158.17,149,121300,34
40391,January,158.15,161,127137,35
39081,January,158.09,167,107230,30
40237,January,158.06,140,107697,30
39453,January,158.06,156,113649,32
40487,January,157.98,136,96296,27
41956,January,157.97,141,106776,30
38979,January,157.88,144,112020,31
39180,January,157.87,164,126472,35
40256,January,157.8,143,119716,33
40341,January,157.74,185,108786,30
39057,January,157.73,169,117307,33
39159,January,157.7,162,108866,30
35222,January,157.67,153,106089,29
35124,January,157.65,155,107511,30
41600,January,157.64,156,102298,28
38751,January,157.62,154,113948,32
39766,January,157.58,147,103896,29
41144,January,157.52,146,108539,30
34213,January,157.46,155,113921,32
41743,January,157.44,140,96805,27
40496,January,157.43,135,99472,28
38818,January,157.37,142,108349,30
40738,January,157.37,139,100464,28
38616,January,157.32,152,108135,30
41239,January,157.3,158,110521,31
41602,January,157.24,143,140175,39
41006,January,157.22,134,107226,30
40935,January,157.2,142,105163,29
40881,January,157.2,152,109597,30
34003,January,157.17,159,112804,31
38349,January,157.13,153,130383,36
41376,January,157.13,151,108305,30
34178,January,157.1,144,105444,29
31127,January,157.09,142,94171,26
35147,January,157.06,143,103341,29
40682,January,157.01,167,104410,29
34202,January,156.99,163,100954,28
40418,January,156.96,139,107233,30
38651,January,156.95,158,104657,29
40879,January,156.87,158,107602,30
41360,January,156.82,142,166165,46
41258,January,156.74,144,110197,31
41201,January,156.68,150,111432,31
30179,January,156.68,152,113784,32
41937,January,156.67,149,98438,27
41696,January,156.66,158,106791,30
38380,January,156.65,151,110486,31
40996,January,156.65,154,122678,34
40287,January,156.65,140,131337,36
34337,January,156.64,137,100468,28
41889,January,156.62,150,107605,30
39600,January,156.61,158,124301,35
40194,January,156.6,146,114921,32
38141,January,156.58,149,112391,31
41955,January,156.55,151,110351,31
41859,January,156.54,150,132620,37
35133,January,156.52,160,109141,30
35329,January,156.52,152,111789,31
39555,January,156.51,138,103053,29
40865,January,156.47,150,141890,39
38762,January,156.47,159,101400,28
38955,January,156.38,152,93640,26
41398,January,156.38,155,112236,31
40080,January,156.32,147,102718,29
40156,January,156.32,141,113029,31
40268,January,156.29,129,406662,113
39794,January,156.25,161,106515,30
35316,January,156.23,158,149138,41
40420,January,156.19,143,116199,32
39134,January,156.16,138,105756,29
41022,January,156.1,153,109321,30
28738,January,156.09,146,100664,28
40295,January,156.0,130,92308,26
40105,January,155.98,153,104676,29
33814,January,155.95,160,131208,36
35289,January,155.91,130,110079,31
38652,January,155.9,149,117239,33
40781,January,155.81,147,106384,30
27495,January,155.78,136,107810,30
33981,January,155.77,141,104863,29
38348,January,155.75,138,136404,38
39397,January,155.68,157,123625,34
38897,January,155.66,146,106968,30
38632,January,155.66,147,98801,27
39864,January,155.6,150,113431,32
35381,January,155.58,179,188451,52
40147,January,155.57,161,108719,30
40264,January,155.56,154,106289,30
40475,January,155.55,141,109142,30
33887,January,155.55,124,115329,32
38306,January,155.53,123,92217,26
41645,January,155.53,143,128341,36
39530,January,155.48,168,108841,30
40395,January,155.47,146,105377,29
39856,January,155.47,154,136550,38
39377,January,155.44,138,109920,31
31574,January,155.42,156,108927,30
40320,January,155.39,164,111557,31
40054,January,155.39,151,242835,67
41091,January,155.38,120,107465,30
40312,January,155.16,143,104836,29
39582,January,155.13,158,108837,30
41388,January,155.12,145,113988,32
41450,January,155.05,143,117052,33
40221,January,154.98,163,131774,37
41972,January,154.96,160,100062,28
40670,January,154.93,137,101185,28
40981,January,154.89,152,105089,29
41497,January,154.88,149,103090,29
34038,January,154.86,154,119678,33
39236,January,154.83,149,100456,28
38840,January,154.83,153,129158,36
38619,January,154.83,143,99632,28
40349,January,154.78,146,115526,32
41986,January,154.78,158,106267,30
40833,January,154.76,132,108936,30
41888,January,154.67,153,110907,31
40569,January,154.67,136,95586,27
41732,January,154.63,144,101942,28
41550,January,154.54,152,110934,31
38431,January,154.51,149,96749,27
41880,January,154.48,143,103749,29
34142,January,154.46,160,121696,34
38682,January,154.42,144,122337,34
39568,January,154.4,140,109674,30
41951,January,154.39,148,101844,28
41652,January,154.39,156,112334,31
40491,January,154.38,140,97174,27
34994,January,154.37,150,115470,32
41194,January,154.34,150,116811,32
41041,January,154.24,152,106545,30
41312,January,154.23,140,103025,29
33777,January,154.23,155,106484,30
41469,January,154.22,143,100523,28
39607,January,154.19,166,123628,34
41031,January,154.15,158,107100,30
38727,January,154.09,169,104545,29
40667,January,154.04,166,91053,25
38165,January,154.04,138,106380,30
39323,January,153.95,169,108969,30
39698,January,153.94,149,101255,28
41080,January,153.92,138,99038,28
39080,January,153.9,139,102248,28
40595,January,153.9,151,98634,27
40923,January,153.89,147,111500,31
33739,January,153.89,137,156174,43
41062,January,153.87,151,107738,30
40308,January,153.87,158,118789,33
34042,January,153.86,154,99338,28
40087,January,153.85,140,107533,30
39605,January,153.83,156,96784,27
38945,January,153.83,143,117756,33
40530,January,153.81,139,97102,27
40232,January,153.8,139,100799,28
41320,January,153.79,136,98379,27
34135,January,153.79,160,103633,29
38162,January,153.78,128,234349,65
41985,January,153.76,177,108918,30
39379,January,153.76,150,107468,30
28102,January,153.69,136,92144,26
41122,January,153.67,145,96571,27
38643,January,153.62,151,116587,32
30151,January,153.6,151,104516,29
41520,January,153.58,152,96939,27
38353,January,153.57,126,98747,27
35051,January,153.56,150,139440,39
40230,January,153.55,128,104204,29
38418,January,153.53,149,110913,31
35347,January,153.49,150,113000,31
39772,January,153.47,151,130190,36
41632,January,153.42,161,131952,37
39078,January,153.41,153,118363,33
34369,January,153.39,134,93520,26
35363,January,153.38,164,110377,31
39392,January,153.36,137,109497,30
39700,January,153.36,144,105512,29
34304,January,153.34,142,101114,28
38908,January,153.33,143,114542,32
39741,January,153.32,153,109460,30
38456,January,153.3,144,102835,29
28865,January,153.3,120,91405,25
38428,January,153.29,152,111205,31
39893,January,153.24,149,111504,31
41166,January,153.19,136,96622,27
41758,January,153.17,120,103569,29
38135,January,153.15,120,113742,32
35337,January,153.06,138,110946,31
41052,January,152.98,152,103121,29
40850,January,152.96,157,123456,34
40212,January,152.94,148,108756,30
41590,January,152.92,162,102765,29
40690,January,152.92,144,116405,32
34069,January,152.91,122,99978,28
40794,January,152.88,137,103896,29
34277,January,152.88,162,103648,29
40811,January,152.87,153,110869,31
41169,January,152.86,152,107124,30
